proc xmin xmax y yerr rel
vh 200.0 270.0 7.92847439647 0.867564302066 0.109423863745
vh 270.0 350.0 4.81346428394 0.526927557707 0.109469506082
vh 350.0 475.0 2.71197780967 0.302577010284 0.111570606959
vh 475.0 1000.0 1.37022547424 0.160081488832 0.116828574451
qcd 200.0 270.0 2.88337603211 2.25497031755 0.782059048986
qcd 270.0 350.0 5.85720698609e-07 4.57654675475e-07 0.781353086141
qcd 350.0 475.0 4.43813297898 3.46601722574 0.780962905383
qcd 475.0 1000.0 3.84379208462e-06 3.0033588078e-06 0.781353086141
zll 200.0 270.0 9.30907487869 1.3348334502 0.143390558954
zll 270.0 350.0 1.20579712093 0.182197874781 0.151101600443
zll 350.0 475.0 0.683160673361 0.173507426777 0.253977480763
zll 475.0 1000.0 0.321070961945 0.0495606491668 0.154360421966
dibosons 200.0 270.0 5.19359089434 1.00224043071 0.192976391692
dibosons 270.0 350.0 2.82664716244 0.545692172859 0.193052808327
dibosons 350.0 475.0 1.92648440134 0.371715445357 0.192950145404
dibosons 475.0 1000.0 1.42576099606 0.275338909843 0.193117156805
stop 200.0 270.0 93.2140493393 18.7068892589 0.200687443486
stop 270.0 350.0 42.0559549332 8.44032477671 0.20069273876
stop 350.0 475.0 12.7300443128 2.55485743248 0.200695093411
stop 475.0 1000.0 2.54170044791 0.509876229828 0.200604375015
wjets 200.0 270.0 230.238597393 39.3479163378 0.170900608253
wjets 270.0 350.0 111.958713531 21.208602254 0.189432350418
wjets 350.0 475.0 32.2068333626 9.05768299336 0.281234820306
wjets 475.0 1000.0 12.7105748747 5.8191848739 0.457822319705
ttbar 200.0 270.0 448.192901611 30.5342053142 0.0681273737366
ttbar 270.0 350.0 152.722253799 16.4782821604 0.107897059862
ttbar 350.0 475.0 35.6976240873 7.87799767885 0.220686891082
ttbar 475.0 1000.0 6.93440192845 6.16259662323 0.888699081309
