proc xmin xmax y yerr rel
dibosons 200.0 270.0 13.0428813398 2.53624221278 0.194454135302
dibosons 270.0 350.0 4.64113205671 0.903014029051 0.194567622299
dibosons 350.0 475.0 1.18967646267 0.231410463197 0.194515458999
dibosons 475.0 1000.0 0.94391159364 0.183689926421 0.194605011378
stop 200.0 270.0 1.53105283156 0.307425887177 0.200793781142
stop 270.0 350.0 0.630195736885 0.126543646456 0.200800543465
stop 350.0 475.0 0.0567986862734 0.0114098513338 0.200882310532
stop 475.0 1000.0 0.196764057182 0.039504958512 0.200773246282
ttbar 200.0 270.0 9.77396681905 1.91787235655 0.196222515592
ttbar 270.0 350.0 4.27030563354 0.738241325793 0.172877866163
ttbar 350.0 475.0 1.18755095173 0.174603443402 0.147028170158
ttbar 475.0 1000.0 0.148189590254 0.0490053142894 0.330693365204
zll 200.0 270.0 533.395018578 19.835550203 0.0371873555474
zll 270.0 350.0 220.952529907 13.3327917625 0.0603423358315
zll 350.0 475.0 82.426905632 7.05029207208 0.085533868074
zll 475.0 1000.0 23.1602906249 3.64146891582 0.157228981915
