type x y yerrup yerrdown
pre 235.0 1.13827615675 0.0387923470434 0.0387923470434
post 235.0 1.01006218106 0.0344228265089 0.0344228265089
pre 310.0 1.12269639287 0.0601828451 0.0601828451
post 310.0 0.987291929878 0.0529244038386 0.0529244038386
pre 412.5 1.26235764374 0.10824626904 0.10824626904
post 412.5 1.08063992483 0.0926641040424 0.0926641040424
pre 737.5 1.12962136672 0.213478367116 0.213478367116
post 737.5 0.86248871552 0.162995042472 0.162995042472
unc 200.0 270.0 0.0300069754012 0.0300069754012
unc 270.0 350.0 0.0444457498252 0.0444457498252
unc 350.0 475.0 0.0721460526855 0.0721460526855
unc 475.0 1000.0 0.137183493315 0.137183493315
