proc xmin xmax y yerr rel
dibosons 200.0 270.0 16.4115154743 3.18599609351 0.194131742342
dibosons 270.0 350.0 6.07526242733 1.18027910973 0.194276234787
dibosons 350.0 475.0 4.45233890787 0.863825919447 0.194016209754
dibosons 475.0 1000.0 0.973181391601 0.189101055862 0.194312239726
stop 200.0 270.0 2.50243935734 0.502610110162 0.200848067981
stop 270.0 350.0 0.551602840424 0.11131960853 0.201811158993
stop 350.0 475.0 0.4106022825 0.0823997719648 0.200680257945
stop 475.0 1000.0 0.0141903110489 0.00285039129785 0.200868838465
ttbar 200.0 270.0 14.7143012285 2.27665729221 0.154724118859
ttbar 270.0 350.0 4.26901966333 1.00659952431 0.235791728241
ttbar 350.0 475.0 1.14223570563 0.219940135147 0.192552320036
ttbar 475.0 1000.0 0.347774138208 0.15769326552 0.453435860218
zll 200.0 270.0 818.79450798 25.6268976207 0.0312983262234
zll 270.0 350.0 341.583442688 15.6696870747 0.0458736727733
zll 350.0 475.0 119.846180081 9.0593927499 0.075591835666
zll 475.0 1000.0 31.1290469952 4.44768998358 0.142879092452
