type x y yerrup yerrdown
pre 235.0 1.04435169329 0.037179906346 0.037179906346
post 235.0 0.990011968315 0.03524536083 0.03524536083
pre 310.0 1.0327118591 0.0580945801897 0.0580945801897
post 310.0 1.00132185961 0.0563287547789 0.0563287547789
pre 412.5 0.915060669404 0.0992522639288 0.0992522639288
post 412.5 0.940325218718 0.101992589025 0.101992589025
pre 737.5 1.14505894312 0.220366696715 0.220366696715
post 737.5 1.06703599892 0.205351174077 0.205351174077
unc 200.0 270.0 0.0299331335831 0.0299331335831
unc 270.0 350.0 0.042986663521 0.042986663521
unc 350.0 475.0 0.0926966942638 0.0926966942638
unc 475.0 1000.0 0.236076527603 0.236076527603
