med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .7439000 .9818000 1.3652000 1.8931000 2.5547000 1.5223000
100 1 .7300000 .9691000 1.3301000 1.8550000 2.4793000 1.5482000
1000 1 10.2684000 13.6851000 18.8438000 26.2798000 35.1257000 20.7222000
15 1 .8014000 1.0681000 1.4707000 2.0393000 2.7331000 1.6730000
20 1 .8554000 1.1301000 1.5586000 2.1612000 2.8964000 1.7627000
300 1 1.3474000 1.7957000 2.4727000 3.4681000 4.6549000 3.0448000
50 1 .7750000 1.0289000 1.4121000 1.9694000 2.6322000 1.5377000
500 1 .6194000 .8255000 1.1367000 1.5853000 2.1189000 1.1530000
700 1 .5303000 .7070000 .9873000 1.3848000 1.8839000 1.0009000
