med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .1321000 .1761000 .2424000 .3381000 .4550000 .2702000
100 1 .1924000 .2564000 .3530000 .4895000 .6560000 .4094000
1000 1 .1610000 .2121000 .2944000 .4083000 .5434000 .3155000
15 1 .1574000 .2094000 .2878000 .3991000 .5349000 .3252000
20 1 .1065000 .1400000 .1941000 .2691000 .3582000 .2227000
300 1 .0022000 .0029000 .0039000 .0055000 .0074000 .0045000
50 1 .1305000 .1731000 .2395000 .3321000 .4451000 .2583000
500 1 .0017000 .0022000 .0031000 .0043000 .0057000 .0031000
700 1 .0145000 .0193000 .0268000 .0378000 .0517000 .0272000
