med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .0906000 .1202000 .1663000 .2319000 .3099000 .1852000
100 1 .0937000 .1237000 .1707000 .2380000 .3181000 .1983000
1000 1 .1956000 .2581000 .3589000 .5005000 .6736000 .4115000
15 1 .0994000 .1312000 .1824000 .2529000 .3389000 .2068000
20 1 .0994000 .1324000 .1824000 .2529000 .3366000 .2062000
300 1 .2099000 .2784000 .3853000 .5373000 .7231000 .4662000
50 1 .0938000 .1250000 .1721000 .2387000 .3199000 .1862000
500 1 .1262000 .1678000 .2307000 .3218000 .4330000 .2350000
700 1 .2038000 .2717000 .3794000 .5352000 .7260000 .3960000
