med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .0362000 .0480000 .0665000 .0927000 .1239000 .0740000
100 1 .0435000 .0578000 .0795000 .1108000 .1481000 .0925000
1000 1 .0098000 .0130000 .0181000 .0253000 .0340000 .0210000
15 1 .0413000 .0551000 .0758000 .1051000 .1409000 .0859000
20 1 .0347000 .0460000 .0632000 .0876000 .1174000 .0721000
300 1 .0221000 .0294000 .0405000 .0568000 .0762000 .0468000
50 1 .0368000 .0491000 .0676000 .0937000 .1256000 .0730000
500 1 .0046000 .0061000 .0084000 .0118000 .0159000 .0085000
700 1 .0072000 .0095000 .0133000 .0188000 .0255000 .0139000
