med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .0561000 .0747000 .1029000 .1435000 .1918000 .1146000
100 1 .0605000 .0799000 .1102000 .1537000 .2055000 .1280000
1000 1 .0393000 .0524000 .0727000 .1014000 .1364000 .0838000
15 1 .0625000 .0822000 .1139000 .1584000 .2120000 .1292000
20 1 .0593000 .0790000 .1088000 .1508000 .2007000 .1228000
300 1 .0926000 .1234000 .1699000 .2370000 .3189000 .2000000
50 1 .0581000 .0771000 .1058000 .1476000 .1973000 .1150000
500 1 .0483000 .0642000 .0883000 .1231000 .1657000 .0899000
700 1 .0306000 .0408000 .0569000 .0803000 .1090000 .0596000
