med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .1924000 .2539000 .3530000 .4895000 .6560000 .3923000
100 1 .1921000 .2551000 .3501000 .4883000 .6526000 .4070000
1000 1 2.5405000 3.3400000 4.6289000 6.3818000 8.5157000 5.1042000
15 1 .2083000 .2777000 .3823000 .5301000 .7105000 .4347000
20 1 .2163000 .2883000 .3970000 .5505000 .7377000 .4484000
300 1 .4007000 .5288000 .7354000 1.0255000 1.3802000 .9008000
50 1 .2002000 .2645000 .3647000 .5087000 .6799000 .3965000
500 1 .2179000 .2904000 .3999000 .5577000 .7454000 .4053000
700 1 .3635000 .4846000 .6768000 .9546000 1.2951000 .6831000
