med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .0521000 .0694000 .0956000 .1333000 .1794000 .1069000
100 1 .0714000 .0947000 .1300000 .1813000 .2423000 .1516000
1000 1 .0230000 .0307000 .0423000 .0590000 .0794000 .0488000
15 1 .0613000 .0816000 .1124000 .1559000 .2089000 .1268000
20 1 .0444000 .0590000 .0809000 .1122000 .1504000 .0928000
300 1 .0019000 .0026000 .0035000 .0049000 .0066000 .0040000
50 1 .0521000 .0694000 .0956000 .1325000 .1776000 .1032000
500 1 .0014000 .0019000 .0026000 .0036000 .0048000 .0026000
700 1 .0215000 .0288000 .0401000 .0566000 .0767000 .0408000
