med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 560.5203000 747.0308000 1028.6250000 1434.5392000 1917.4111000 1148.0052000
100 1 601.5938000 801.7712000 1104.0000000 1539.6586000 2057.9141000 1280.1358000
1000 1 395.8176000 522.3591000 726.3750000 1013.0158000 1363.3433000 838.7160000
15 1 623.2324000 828.9826000 1139.6250000 1580.2566000 2117.8264000 1295.3072000
20 1 595.1012000 786.1993000 1084.3125000 1503.5577000 2015.0363000 1231.4173000
300 1 243.9377000 325.1068000 447.6562000 624.3096000 834.4548000 496.6626000
50 1 577.6853000 769.9073000 1060.1250000 1470.0183000 1970.0874000 1149.6699000
500 1 264.1168000 352.0005000 484.6875000 675.9540000 909.7167000 493.8437000
700 1 306.8573000 409.1271000 571.3125000 805.8719000 1093.2980000 596.1003000
