med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .0417000 .0550000 .0765000 .1061000 .1422000 .0852000
100 1 .0472000 .0627000 .0861000 .1200000 .1604000 .1001000
1000 1 .0153000 .0202000 .0281000 .0394000 .0529000 .0325000
15 1 .0469000 .0619000 .0861000 .1193000 .1599000 .0972000
20 1 .0420000 .0558000 .0765000 .1061000 .1422000 .0873000
300 1 .0282000 .0376000 .0518000 .0723000 .0973000 .0599000
50 1 .0428000 .0568000 .0780000 .1088000 .1454000 .0848000
500 1 .0146000 .0193000 .0268000 .0372000 .0502000 .0271000
700 1 .0104000 .0139000 .0193000 .0272000 .0372000 .0202000
